Train Loss=1.9865, Train Acc=0.3678 | Val Loss=2.2916, Val Acc=0.3912
Train Loss=1.7810, Train Acc=0.4422 | Val Loss=2.2246, Val Acc=0.4059
Train Loss=1.7112, Train Acc=0.4710 | Val Loss=2.2198, Val Acc=0.3897
Train Loss=1.6269, Train Acc=0.4936 | Val Loss=2.1838, Val Acc=0.4159
Train Loss=1.5816, Train Acc=0.5189 | Val Loss=2.0572, Val Acc=0.4624
Train Loss=1.5392, Train Acc=0.5367 | Val Loss=2.0246, Val Acc=0.4771
Train Loss=1.4711, Train Acc=0.5517 | Val Loss=2.0533, Val Acc=0.4977
Train Loss=1.4234, Train Acc=0.5762 | Val Loss=2.0233, Val Acc=0.5239
Train Loss=1.3591, Train Acc=0.5876 | Val Loss=1.9806, Val Acc=0.5212
Train Loss=1.3534, Train Acc=0.5941 | Val Loss=1.9348, Val Acc=0.5286
Train Loss=1.2705, Train Acc=0.6316 | Val Loss=2.0082, Val Acc=0.4885
Train Loss=1.2085, Train Acc=0.6408 | Val Loss=1.9571, Val Acc=0.5174
Train Loss=1.2069, Train Acc=0.6510 | Val Loss=1.8333, Val Acc=0.5889
Train Loss=1.1517, Train Acc=0.6653 | Val Loss=1.7835, Val Acc=0.6048
Train Loss=1.1063, Train Acc=0.6884 | Val Loss=1.7999, Val Acc=0.5910
Train Loss=1.0759, Train Acc=0.7056 | Val Loss=1.8078, Val Acc=0.5944
Train Loss=1.0357, Train Acc=0.7126 | Val Loss=1.7732, Val Acc=0.6048
Train Loss=0.9821, Train Acc=0.7346 | Val Loss=1.7942, Val Acc=0.6076
Train Loss=0.9298, Train Acc=0.7502 | Val Loss=1.6472, Val Acc=0.6736
Train Loss=0.9071, Train Acc=0.7689 | Val Loss=1.5730, Val Acc=0.6760
Train Loss=0.8626, Train Acc=0.7775 | Val Loss=1.6793, Val Acc=0.6478
Train Loss=0.7910, Train Acc=0.8019 | Val Loss=1.6268, Val Acc=0.6777
Train Loss=0.7355, Train Acc=0.8224 | Val Loss=1.5319, Val Acc=0.7078
Train Loss=0.7132, Train Acc=0.8306 | Val Loss=1.3635, Val Acc=0.7524
Train Loss=0.6545, Train Acc=0.8518 | Val Loss=1.4734, Val Acc=0.7463
Train Loss=0.6425, Train Acc=0.8568 | Val Loss=1.5216, Val Acc=0.7007
Train Loss=0.5792, Train Acc=0.8807 | Val Loss=1.3788, Val Acc=0.7707
Train Loss=0.5121, Train Acc=0.9078 | Val Loss=1.3525, Val Acc=0.8028
Train Loss=0.5164, Train Acc=0.9121 | Val Loss=1.4039, Val Acc=0.7921
Train Loss=0.4766, Train Acc=0.9139 | Val Loss=1.2470, Val Acc=0.8217
Train Loss=0.4404, Train Acc=0.9332 | Val Loss=1.3298, Val Acc=0.8236
Train Loss=0.4090, Train Acc=0.9477 | Val Loss=1.2486, Val Acc=0.7947
Train Loss=0.3641, Train Acc=0.9582 | Val Loss=1.3185, Val Acc=0.8175
Train Loss=0.3598, Train Acc=0.9601 | Val Loss=1.2896, Val Acc=0.8255
Train Loss=0.3275, Train Acc=0.9702 | Val Loss=1.2259, Val Acc=0.8521
Train Loss=0.3184, Train Acc=0.9766 | Val Loss=1.2001, Val Acc=0.8355
Train Loss=0.2979, Train Acc=0.9812 | Val Loss=1.2264, Val Acc=0.8464
Train Loss=0.3245, Train Acc=0.9656 | Val Loss=1.4012, Val Acc=0.7935
Train Loss=0.3343, Train Acc=0.9671 | Val Loss=1.1842, Val Acc=0.8483
Train Loss=0.2621, Train Acc=0.9848 | Val Loss=1.2351, Val Acc=0.8438
Train Loss=0.2795, Train Acc=0.9765 | Val Loss=1.2257, Val Acc=0.8172
Train Loss=0.2626, Train Acc=0.9828 | Val Loss=1.2529, Val Acc=0.8122
Train Loss=0.2524, Train Acc=0.9879 | Val Loss=1.1131, Val Acc=0.8645
Train Loss=0.2401, Train Acc=0.9911 | Val Loss=1.1373, Val Acc=0.8633
Train Loss=0.2360, Train Acc=0.9870 | Val Loss=1.1568, Val Acc=0.8562
Train Loss=0.2556, Train Acc=0.9832 | Val Loss=1.2879, Val Acc=0.8528
Train Loss=0.2276, Train Acc=0.9929 | Val Loss=1.2156, Val Acc=0.8317
Train Loss=0.2430, Train Acc=0.9797 | Val Loss=1.2098, Val Acc=0.8521
Train Loss=0.2164, Train Acc=0.9919 | Val Loss=1.1658, Val Acc=0.8600
Train Loss=0.2199, Train Acc=0.9909 | Val Loss=1.2634, Val Acc=0.8424
Train Loss=0.2264, Train Acc=0.9898 | Val Loss=1.1694, Val Acc=0.8607
Train Loss=0.1996, Train Acc=0.9914 | Val Loss=1.1374, Val Acc=0.8348
Train Loss=0.2378, Train Acc=0.9811 | Val Loss=1.1192, Val Acc=0.8552
Train Loss=0.2175, Train Acc=0.9898 | Val Loss=1.2658, Val Acc=0.8438
Train Loss=0.2056, Train Acc=0.9945 | Val Loss=1.2991, Val Acc=0.8153
Train Loss=0.2150, Train Acc=0.9856 | Val Loss=1.3081, Val Acc=0.8649
Train Loss=0.1889, Train Acc=0.9914 | Val Loss=1.2446, Val Acc=0.8156
Train Loss=0.1814, Train Acc=0.9923 | Val Loss=1.1311, Val Acc=0.8711
Train Loss=0.2039, Train Acc=0.9917 | Val Loss=1.1637, Val Acc=0.8616
Train Loss=0.1846, Train Acc=0.9965 | Val Loss=1.2025, Val Acc=0.8695
Train Loss=0.1759, Train Acc=0.9930 | Val Loss=1.1654, Val Acc=0.8699
Train Loss=0.1746, Train Acc=0.9933 | Val Loss=1.2479, Val Acc=0.8626
Train Loss=0.1962, Train Acc=0.9891 | Val Loss=1.1143, Val Acc=0.8657
Train Loss=0.1897, Train Acc=0.9909 | Val Loss=1.2204, Val Acc=0.8626
Train Loss=0.1945, Train Acc=0.9899 | Val Loss=1.3016, Val Acc=0.8308
Train Loss=0.1824, Train Acc=0.9903 | Val Loss=1.4234, Val Acc=0.7952
Train Loss=0.1773, Train Acc=0.9922 | Val Loss=1.1114, Val Acc=0.8751
Train Loss=0.1857, Train Acc=0.9940 | Val Loss=1.2103, Val Acc=0.8623
Train Loss=0.1772, Train Acc=0.9938 | Val Loss=1.2950, Val Acc=0.8626
Train Loss=0.1572, Train Acc=0.9949 | Val Loss=1.1798, Val Acc=0.8751
Train Loss=0.1436, Train Acc=0.9949 | Val Loss=1.2203, Val Acc=0.8607
Train Loss=0.1864, Train Acc=0.9864 | Val Loss=1.2092, Val Acc=0.8621
Train Loss=0.2063, Train Acc=0.9820 | Val Loss=1.1854, Val Acc=0.8614
Train Loss=0.1681, Train Acc=0.9864 | Val Loss=1.2635, Val Acc=0.8671
Train Loss=0.1423, Train Acc=0.9968 | Val Loss=1.2870, Val Acc=0.8659
Train Loss=0.1511, Train Acc=0.9973 | Val Loss=1.0855, Val Acc=0.8804
Train Loss=0.1524, Train Acc=0.9960 | Val Loss=1.2651, Val Acc=0.8664
Train Loss=0.1502, Train Acc=0.9938 | Val Loss=1.2003, Val Acc=0.8704
Train Loss=0.1691, Train Acc=0.9926 | Val Loss=1.2266, Val Acc=0.8702
Train Loss=0.1685, Train Acc=0.9940 | Val Loss=1.2283, Val Acc=0.8645
