Train Loss=1.7633, Train Acc=0.2941 | Val Loss=1.8337, Val Acc=0.2639
Train Loss=1.4237, Train Acc=0.5284 | Val Loss=1.2818, Val Acc=0.5069
Train Loss=1.2461, Train Acc=0.5716 | Val Loss=1.1305, Val Acc=0.5833
Train Loss=1.0631, Train Acc=0.6559 | Val Loss=0.9668, Val Acc=0.6875
Train Loss=0.9826, Train Acc=0.6775 | Val Loss=1.0109, Val Acc=0.6181
Train Loss=0.9258, Train Acc=0.6931 | Val Loss=0.8945, Val Acc=0.7014
Train Loss=0.8012, Train Acc=0.7539 | Val Loss=0.7798, Val Acc=0.7431
Train Loss=0.6838, Train Acc=0.8039 | Val Loss=0.7196, Val Acc=0.7917
Train Loss=0.6332, Train Acc=0.8147 | Val Loss=0.7856, Val Acc=0.7431
Train Loss=0.6008, Train Acc=0.8353 | Val Loss=0.6740, Val Acc=0.8194
Train Loss=0.4940, Train Acc=0.8716 | Val Loss=0.6520, Val Acc=0.7500
Train Loss=0.4588, Train Acc=0.8657 | Val Loss=0.6292, Val Acc=0.7986
Train Loss=0.3707, Train Acc=0.9206 | Val Loss=0.6675, Val Acc=0.8194
Train Loss=0.3520, Train Acc=0.9206 | Val Loss=0.5692, Val Acc=0.8472
Train Loss=0.3095, Train Acc=0.9422 | Val Loss=0.5730, Val Acc=0.8611
Train Loss=0.2803, Train Acc=0.9510 | Val Loss=0.6928, Val Acc=0.8194
Train Loss=0.3075, Train Acc=0.9373 | Val Loss=0.7720, Val Acc=0.7778
Train Loss=0.2733, Train Acc=0.9412 | Val Loss=0.7116, Val Acc=0.7569
Train Loss=0.2922, Train Acc=0.9373 | Val Loss=0.6844, Val Acc=0.8264
Train Loss=0.1961, Train Acc=0.9794 | Val Loss=0.6927, Val Acc=0.7986
Train Loss=0.1671, Train Acc=0.9882 | Val Loss=0.5928, Val Acc=0.8542
Train Loss=0.1392, Train Acc=0.9912 | Val Loss=0.5221, Val Acc=0.8681
Train Loss=0.1177, Train Acc=0.9951 | Val Loss=0.5686, Val Acc=0.8611
Train Loss=0.1009, Train Acc=0.9980 | Val Loss=0.5330, Val Acc=0.8889
Train Loss=0.0898, Train Acc=1.0000 | Val Loss=0.5507, Val Acc=0.8542
Train Loss=0.0845, Train Acc=1.0000 | Val Loss=0.5765, Val Acc=0.8681
Train Loss=0.0790, Train Acc=1.0000 | Val Loss=0.5598, Val Acc=0.8611
Train Loss=0.0762, Train Acc=1.0000 | Val Loss=0.5311, Val Acc=0.8750
Train Loss=0.0722, Train Acc=1.0000 | Val Loss=0.4990, Val Acc=0.8819
Train Loss=0.0647, Train Acc=1.0000 | Val Loss=0.5123, Val Acc=0.8819
Train Loss=0.0635, Train Acc=1.0000 | Val Loss=0.5139, Val Acc=0.8819
Train Loss=0.0583, Train Acc=1.0000 | Val Loss=0.5414, Val Acc=0.8750
Train Loss=0.1942, Train Acc=0.9500 | Val Loss=0.8606, Val Acc=0.7431
Train Loss=0.4106, Train Acc=0.8833 | Val Loss=0.6302, Val Acc=0.8125
Train Loss=0.2460, Train Acc=0.9520 | Val Loss=0.5656, Val Acc=0.8264
Train Loss=0.1773, Train Acc=0.9735 | Val Loss=0.6340, Val Acc=0.8125
Train Loss=0.1295, Train Acc=0.9931 | Val Loss=0.5622, Val Acc=0.8750
Train Loss=0.0933, Train Acc=0.9980 | Val Loss=0.6335, Val Acc=0.8403
Train Loss=0.0839, Train Acc=1.0000 | Val Loss=0.5271, Val Acc=0.8889
Train Loss=0.0679, Train Acc=1.0000 | Val Loss=0.5287, Val Acc=0.8750
Train Loss=0.0610, Train Acc=1.0000 | Val Loss=0.5104, Val Acc=0.8889
Train Loss=0.0573, Train Acc=1.0000 | Val Loss=0.5099, Val Acc=0.8958
Train Loss=0.0562, Train Acc=1.0000 | Val Loss=0.4906, Val Acc=0.8889
Train Loss=0.0658, Train Acc=0.9961 | Val Loss=0.6240, Val Acc=0.8264
Train Loss=0.0827, Train Acc=0.9922 | Val Loss=0.6136, Val Acc=0.8403
Train Loss=0.0670, Train Acc=1.0000 | Val Loss=0.5380, Val Acc=0.8403
Train Loss=0.0581, Train Acc=0.9990 | Val Loss=0.4950, Val Acc=0.9028

Train Loss=0.0547, Train Acc=1.0000 | Val Loss=0.4873, Val Acc=0.9097
Train Loss=0.0466, Train Acc=1.0000 | Val Loss=0.5201, Val Acc=0.8819
Train Loss=0.0473, Train Acc=1.0000 | Val Loss=0.5027, Val Acc=0.8889
Train Loss=0.0435, Train Acc=1.0000 | Val Loss=0.4782, Val Acc=0.8819
Train Loss=0.0404, Train Acc=1.0000 | Val Loss=0.4997, Val Acc=0.8819
Train Loss=0.0414, Train Acc=1.0000 | Val Loss=0.4990, Val Acc=0.8819
Train Loss=0.0386, Train Acc=1.0000 | Val Loss=0.5120, Val Acc=0.8750
Train Loss=0.0383, Train Acc=1.0000 | Val Loss=0.4886, Val Acc=0.8889
Train Loss=0.0355, Train Acc=1.0000 | Val Loss=0.4922, Val Acc=0.8958
Train Loss=0.0335, Train Acc=1.0000 | Val Loss=0.4787, Val Acc=0.8889
Train Loss=0.0351, Train Acc=1.0000 | Val Loss=0.4821, Val Acc=0.8819
Train Loss=0.0338, Train Acc=1.0000 | Val Loss=0.4829, Val Acc=0.8750
Train Loss=0.0323, Train Acc=1.0000 | Val Loss=0.4893, Val Acc=0.8819
Train Loss=0.0312, Train Acc=1.0000 | Val Loss=0.4923, Val Acc=0.8750
Train Loss=0.0307, Train Acc=1.0000 | Val Loss=0.4804, Val Acc=0.8819
Train Loss=0.0294, Train Acc=1.0000 | Val Loss=0.4743, Val Acc=0.8889
Train Loss=0.0288, Train Acc=1.0000 | Val Loss=0.4759, Val Acc=0.8750
Train Loss=0.0295, Train Acc=1.0000 | Val Loss=0.4954, Val Acc=0.8889
Train Loss=0.0289, Train Acc=1.0000 | Val Loss=0.4852, Val Acc=0.8750
Train Loss=0.0258, Train Acc=1.0000 | Val Loss=0.4746, Val Acc=0.8750
Train Loss=0.0275, Train Acc=1.0000 | Val Loss=0.5016, Val Acc=0.8819
Train Loss=0.0256, Train Acc=1.0000 | Val Loss=0.4960, Val Acc=0.8611
Train Loss=0.0247, Train Acc=1.0000 | Val Loss=0.5046, Val Acc=0.8750
