Train Loss=2.0854, Train Acc=0.3415 | Val Loss=1.9518, Val Acc=0.4754
Train Loss=1.7248, Train Acc=0.4767 | Val Loss=1.6570, Val Acc=0.4918
Train Loss=1.5535, Train Acc=0.5721 | Val Loss=1.5323, Val Acc=0.5246
Train Loss=1.4464, Train Acc=0.6075 | Val Loss=1.4013, Val Acc=0.6066
Train Loss=1.3570, Train Acc=0.6297 | Val Loss=1.2698, Val Acc=0.6885
Train Loss=1.2476, Train Acc=0.6962 | Val Loss=1.3058, Val Acc=0.6393
Train Loss=1.2494, Train Acc=0.6940 | Val Loss=1.2773, Val Acc=0.6557
Train Loss=1.2044, Train Acc=0.7273 | Val Loss=1.3039, Val Acc=0.6230
Train Loss=1.1151, Train Acc=0.7450 | Val Loss=1.3492, Val Acc=0.6721
Train Loss=1.0743, Train Acc=0.7583 | Val Loss=1.1221, Val Acc=0.7213
Train Loss=1.0576, Train Acc=0.7406 | Val Loss=1.3466, Val Acc=0.5738
Train Loss=1.1227, Train Acc=0.7428 | Val Loss=1.2395, Val Acc=0.6721
Train Loss=1.0012, Train Acc=0.7694 | Val Loss=1.3616, Val Acc=0.5902
Train Loss=0.9729, Train Acc=0.8248 | Val Loss=1.1957, Val Acc=0.6885
Train Loss=0.8996, Train Acc=0.8514 | Val Loss=1.0907, Val Acc=0.7049
Train Loss=0.8455, Train Acc=0.8603 | Val Loss=1.1653, Val Acc=0.6721
Train Loss=0.8415, Train Acc=0.8514 | Val Loss=1.0375, Val Acc=0.7049
Train Loss=0.7768, Train Acc=0.8869 | Val Loss=1.0858, Val Acc=0.6721
Train Loss=0.9138, Train Acc=0.8315 | Val Loss=1.3174, Val Acc=0.6393
Train Loss=0.8653, Train Acc=0.8514 | Val Loss=1.1688, Val Acc=0.7049
Train Loss=0.7902, Train Acc=0.8736 | Val Loss=0.9993, Val Acc=0.7705
Train Loss=0.7438, Train Acc=0.8825 | Val Loss=1.0713, Val Acc=0.7541
Train Loss=0.8383, Train Acc=0.8448 | Val Loss=1.4085, Val Acc=0.6066
Train Loss=1.0557, Train Acc=0.7716 | Val Loss=1.1483, Val Acc=0.7049
Train Loss=0.8407, Train Acc=0.8670 | Val Loss=1.0325, Val Acc=0.7869
Train Loss=0.7176, Train Acc=0.9202 | Val Loss=0.9636, Val Acc=0.7869
Train Loss=0.6557, Train Acc=0.9446 | Val Loss=0.9636, Val Acc=0.7705
Train Loss=0.7175, Train Acc=0.9246 | Val Loss=1.0023, Val Acc=0.7869
Train Loss=0.7420, Train Acc=0.9002 | Val Loss=1.0460, Val Acc=0.7869
Train Loss=0.6824, Train Acc=0.9113 | Val Loss=1.0307, Val Acc=0.7705
Train Loss=0.5853, Train Acc=0.9601 | Val Loss=0.9833, Val Acc=0.7541
Train Loss=0.5629, Train Acc=0.9756 | Val Loss=0.9180, Val Acc=0.7869
Train Loss=0.6228, Train Acc=0.9268 | Val Loss=1.0055, Val Acc=0.7869
Train Loss=0.5816, Train Acc=0.9623 | Val Loss=0.9931, Val Acc=0.7705
Train Loss=0.5979, Train Acc=0.9468 | Val Loss=0.9297, Val Acc=0.8033
Train Loss=0.5370, Train Acc=0.9623 | Val Loss=0.9846, Val Acc=0.7705
Train Loss=0.5743, Train Acc=0.9601 | Val Loss=0.9883, Val Acc=0.8033
Train Loss=0.5825, Train Acc=0.9623 | Val Loss=0.9456, Val Acc=0.7705
Train Loss=0.5350, Train Acc=0.9823 | Val Loss=0.9168, Val Acc=0.7869
Train Loss=0.5100, Train Acc=0.9778 | Val Loss=0.9322, Val Acc=0.8033
Train Loss=0.6478, Train Acc=0.9047 | Val Loss=1.0832, Val Acc=0.7869
Train Loss=0.6612, Train Acc=0.9024 | Val Loss=1.0775, Val Acc=0.6721
Train Loss=0.5572, Train Acc=0.9623 | Val Loss=1.0265, Val Acc=0.7705
Train Loss=0.5516, Train Acc=0.9601 | Val Loss=1.0341, Val Acc=0.7213
Train Loss=0.7923, Train Acc=0.8492 | Val Loss=1.1960, Val Acc=0.6393
Train Loss=0.6949, Train Acc=0.8958 | Val Loss=0.8978, Val Acc=0.8197
Train Loss=0.5784, Train Acc=0.9690 | Val Loss=0.8602, Val Acc=0.8197
Train Loss=0.5422, Train Acc=0.9756 | Val Loss=1.0971, Val Acc=0.7541
Train Loss=0.6052, Train Acc=0.9202 | Val Loss=1.1556, Val Acc=0.6885
Train Loss=0.5782, Train Acc=0.9335 | Val Loss=1.0339, Val Acc=0.7869
Train Loss=0.5636, Train Acc=0.9490 | Val Loss=1.0233, Val Acc=0.7213
Train Loss=0.5286, Train Acc=0.9756 | Val Loss=0.8803, Val Acc=0.8197
Train Loss=0.4695, Train Acc=0.9845 | Val Loss=0.8297, Val Acc=0.8361
Train Loss=0.4577, Train Acc=0.9911 | Val Loss=0.9275, Val Acc=0.8197
