Train Loss=1.7230, Train Acc=0.3225 | Val Loss=1.7801, Val Acc=0.2292
Train Loss=1.4527, Train Acc=0.4578 | Val Loss=1.3943, Val Acc=0.5208
Train Loss=1.2735, Train Acc=0.5431 | Val Loss=1.1929, Val Acc=0.5139
Train Loss=1.0823, Train Acc=0.6206 | Val Loss=0.9428, Val Acc=0.7153
Train Loss=0.9156, Train Acc=0.7059 | Val Loss=0.8585, Val Acc=0.7153
Train Loss=0.8028, Train Acc=0.7363 | Val Loss=0.8587, Val Acc=0.7083
Train Loss=0.6776, Train Acc=0.7922 | Val Loss=0.9944, Val Acc=0.6319
Train Loss=0.6377, Train Acc=0.8078 | Val Loss=0.6954, Val Acc=0.7917
Train Loss=0.5558, Train Acc=0.8324 | Val Loss=0.7191, Val Acc=0.7500
Train Loss=0.4796, Train Acc=0.8598 | Val Loss=0.7038, Val Acc=0.7292
Train Loss=0.4539, Train Acc=0.8902 | Val Loss=1.2185, Val Acc=0.6042
Train Loss=0.4017, Train Acc=0.8990 | Val Loss=0.6696, Val Acc=0.7778
Train Loss=0.3310, Train Acc=0.9235 | Val Loss=0.7211, Val Acc=0.7639
Train Loss=0.3374, Train Acc=0.9196 | Val Loss=0.7566, Val Acc=0.7292
Train Loss=0.3628, Train Acc=0.9020 | Val Loss=0.5658, Val Acc=0.8264
Train Loss=0.2497, Train Acc=0.9490 | Val Loss=0.5970, Val Acc=0.7986
Train Loss=0.2159, Train Acc=0.9569 | Val Loss=0.6792, Val Acc=0.7569
Train Loss=0.2303, Train Acc=0.9431 | Val Loss=0.5308, Val Acc=0.8611
Train Loss=0.1980, Train Acc=0.9637 | Val Loss=0.6288, Val Acc=0.7778
Train Loss=0.1693, Train Acc=0.9667 | Val Loss=0.5303, Val Acc=0.8681
Train Loss=0.1528, Train Acc=0.9804 | Val Loss=0.5128, Val Acc=0.8681
Train Loss=0.1221, Train Acc=0.9843 | Val Loss=0.6174, Val Acc=0.8056
Train Loss=0.0961, Train Acc=0.9931 | Val Loss=0.5417, Val Acc=0.8542
Train Loss=0.0788, Train Acc=0.9971 | Val Loss=0.5166, Val Acc=0.8681
Train Loss=0.0706, Train Acc=0.9971 | Val Loss=0.4628, Val Acc=0.8750
Train Loss=0.0648, Train Acc=0.9980 | Val Loss=0.5056, Val Acc=0.8542
Train Loss=0.0629, Train Acc=0.9980 | Val Loss=0.5538, Val Acc=0.8611
Train Loss=0.1392, Train Acc=0.9686 | Val Loss=0.7426, Val Acc=0.7778
Train Loss=0.2102, Train Acc=0.9510 | Val Loss=0.7572, Val Acc=0.7431
Train Loss=0.2744, Train Acc=0.9275 | Val Loss=0.7849, Val Acc=0.7569
Train Loss=0.1959, Train Acc=0.9559 | Val Loss=0.5151, Val Acc=0.8542
Train Loss=0.1276, Train Acc=0.9833 | Val Loss=0.5911, Val Acc=0.8264
Train Loss=0.1007, Train Acc=0.9843 | Val Loss=0.5194, Val Acc=0.8333
Train Loss=0.0995, Train Acc=0.9853 | Val Loss=0.4895, Val Acc=0.8542
Train Loss=0.0685, Train Acc=0.9951 | Val Loss=0.4394, Val Acc=0.8750
Train Loss=0.0547, Train Acc=0.9990 | Val Loss=0.4337, Val Acc=0.8889
Train Loss=0.0509, Train Acc=1.0000 | Val Loss=0.4718, Val Acc=0.8681
Train Loss=0.0469, Train Acc=1.0000 | Val Loss=0.4582, Val Acc=0.8750
Train Loss=0.0452, Train Acc=1.0000 | Val Loss=0.4228, Val Acc=0.8819
Train Loss=0.0436, Train Acc=1.0000 | Val Loss=0.4342, Val Acc=0.8958
Train Loss=0.0422, Train Acc=1.0000 | Val Loss=0.4234, Val Acc=0.8819
Train Loss=0.0410, Train Acc=1.0000 | Val Loss=0.4396, Val Acc=0.8889
Train Loss=0.0392, Train Acc=1.0000 | Val Loss=0.4080, Val Acc=0.8958
Train Loss=0.0386, Train Acc=1.0000 | Val Loss=0.4572, Val Acc=0.8750
Train Loss=0.0373, Train Acc=1.0000 | Val Loss=0.4011, Val Acc=0.8958
