Train Loss=1.6496, Train Acc=0.3728 | Val Loss=1.6200, Val Acc=0.4337
Train Loss=1.4635, Train Acc=0.4718 | Val Loss=1.5245, Val Acc=0.4787
Train Loss=1.3981, Train Acc=0.4915 | Val Loss=1.5135, Val Acc=0.4843
Train Loss=1.3474, Train Acc=0.5157 | Val Loss=1.4352, Val Acc=0.5169
Train Loss=1.2928, Train Acc=0.5417 | Val Loss=1.4081, Val Acc=0.5236
Train Loss=1.2582, Train Acc=0.5561 | Val Loss=1.4084, Val Acc=0.5303
Train Loss=1.2285, Train Acc=0.5755 | Val Loss=1.3580, Val Acc=0.5494
Train Loss=1.1794, Train Acc=0.5926 | Val Loss=1.3524, Val Acc=0.5584
Train Loss=1.1442, Train Acc=0.6065 | Val Loss=1.3281, Val Acc=0.5629
Train Loss=1.1081, Train Acc=0.6317 | Val Loss=1.3532, Val Acc=0.5607
Train Loss=1.0839, Train Acc=0.6380 | Val Loss=1.3425, Val Acc=0.5573
Train Loss=1.0539, Train Acc=0.6514 | Val Loss=1.3139, Val Acc=0.5697
Train Loss=1.0122, Train Acc=0.6620 | Val Loss=1.3243, Val Acc=0.5798
Train Loss=0.9776, Train Acc=0.6846 | Val Loss=1.2828, Val Acc=0.5910
Train Loss=0.9480, Train Acc=0.6975 | Val Loss=1.2896, Val Acc=0.5865
Train Loss=0.9058, Train Acc=0.7186 | Val Loss=1.2969, Val Acc=0.5865
Train Loss=0.8809, Train Acc=0.7303 | Val Loss=1.3226, Val Acc=0.5798
Train Loss=0.8316, Train Acc=0.7403 | Val Loss=1.2803, Val Acc=0.5966
Train Loss=0.8043, Train Acc=0.7572 | Val Loss=1.3004, Val Acc=0.5921
Train Loss=0.7597, Train Acc=0.7759 | Val Loss=1.3043, Val Acc=0.5888
Train Loss=0.7511, Train Acc=0.7817 | Val Loss=1.3005, Val Acc=0.5921
Train Loss=0.7017, Train Acc=0.8052 | Val Loss=1.3245, Val Acc=0.6011
Train Loss=0.6742, Train Acc=0.8088 | Val Loss=1.3398, Val Acc=0.5888
Train Loss=0.6328, Train Acc=0.8338 | Val Loss=1.3794, Val Acc=0.5730
Train Loss=0.6053, Train Acc=0.8349 | Val Loss=1.3971, Val Acc=0.5831
Train Loss=0.6015, Train Acc=0.8358 | Val Loss=1.3613, Val Acc=0.5921
Train Loss=0.5414, Train Acc=0.8610 | Val Loss=1.3741, Val Acc=0.5989
Train Loss=0.5163, Train Acc=0.8743 | Val Loss=1.3750, Val Acc=0.5899
Train Loss=0.4956, Train Acc=0.8776 | Val Loss=1.4048, Val Acc=0.5865
Train Loss=0.4648, Train Acc=0.8923 | Val Loss=1.4194, Val Acc=0.5978
Train Loss=0.4385, Train Acc=0.9042 | Val Loss=1.4706, Val Acc=0.5753
Train Loss=0.4066, Train Acc=0.9135 | Val Loss=1.4837, Val Acc=0.5955
Train Loss=0.3879, Train Acc=0.9241 | Val Loss=1.5216, Val Acc=0.5742
Train Loss=0.3690, Train Acc=0.9295 | Val Loss=1.5762, Val Acc=0.5775
Train Loss=0.3542, Train Acc=0.9299 | Val Loss=1.5692, Val Acc=0.5742
Train Loss=0.3379, Train Acc=0.9363 | Val Loss=1.7965, Val Acc=0.5315
Train Loss=0.3280, Train Acc=0.9429 | Val Loss=1.5993, Val Acc=0.5764
Train Loss=0.2930, Train Acc=0.9568 | Val Loss=1.6323, Val Acc=0.5753
Train Loss=0.2735, Train Acc=0.9606 | Val Loss=1.6445, Val Acc=0.5697
Train Loss=0.2869, Train Acc=0.9533 | Val Loss=1.6500, Val Acc=0.5629
Train Loss=0.2691, Train Acc=0.9608 | Val Loss=1.6536, Val Acc=0.5809
Train Loss=0.2400, Train Acc=0.9712 | Val Loss=1.7880, Val Acc=0.5551
Train Loss=0.2488, Train Acc=0.9690 | Val Loss=1.7508, Val Acc=0.5753
Train Loss=0.2167, Train Acc=0.9785 | Val Loss=1.7076, Val Acc=0.5685
Train Loss=0.2081, Train Acc=0.9817 | Val Loss=1.7511, Val Acc=0.5697
Train Loss=0.2041, Train Acc=0.9818 | Val Loss=1.8255, Val Acc=0.5719
Train Loss=0.1912, Train Acc=0.9872 | Val Loss=2.0438, Val Acc=0.5382
Train Loss=0.2125, Train Acc=0.9763 | Val Loss=1.8415, Val Acc=0.5708
Train Loss=0.1864, Train Acc=0.9856 | Val Loss=1.8327, Val Acc=0.5674
Train Loss=0.1837, Train Acc=0.9867 | Val Loss=1.8682, Val Acc=0.5719
Train Loss=0.1680, Train Acc=0.9911 | Val Loss=1.9635, Val Acc=0.5652
Train Loss=0.2135, Train Acc=0.9755 | Val Loss=1.9852, Val Acc=0.5562
