Train Loss=3.1960, Train Acc=0.2765 | Val Loss=4.9022, Val Acc=0.2844
Train Loss=2.9841, Train Acc=0.3345 | Val Loss=4.9433, Val Acc=0.3052
Train Loss=2.7802, Train Acc=0.3658 | Val Loss=4.6803, Val Acc=0.3572
Train Loss=2.6821, Train Acc=0.3809 | Val Loss=4.9571, Val Acc=0.3710
Train Loss=2.5231, Train Acc=0.3779 | Val Loss=4.8339, Val Acc=0.3477
Train Loss=2.5387, Train Acc=0.3904 | Val Loss=4.4399, Val Acc=0.3905
Train Loss=2.4689, Train Acc=0.4051 | Val Loss=4.5915, Val Acc=0.3954
Train Loss=2.5077, Train Acc=0.4120 | Val Loss=4.5216, Val Acc=0.3755
Train Loss=2.3587, Train Acc=0.4018 | Val Loss=4.3611, Val Acc=0.3755
Train Loss=2.4227, Train Acc=0.4170 | Val Loss=4.4312, Val Acc=0.3890
Train Loss=2.3305, Train Acc=0.4278 | Val Loss=4.3211, Val Acc=0.4123
Train Loss=2.2709, Train Acc=0.4304 | Val Loss=4.0775, Val Acc=0.4170
Train Loss=2.1627, Train Acc=0.4453 | Val Loss=4.3505, Val Acc=0.4071
Train Loss=2.2255, Train Acc=0.4496 | Val Loss=4.4785, Val Acc=0.4254
Train Loss=2.2114, Train Acc=0.4395 | Val Loss=4.2924, Val Acc=0.4280
Train Loss=2.1267, Train Acc=0.4469 | Val Loss=4.1053, Val Acc=0.4208
Train Loss=2.0950, Train Acc=0.4609 | Val Loss=4.0687, Val Acc=0.4261
Train Loss=2.1293, Train Acc=0.4585 | Val Loss=4.1390, Val Acc=0.4439
Train Loss=1.9968, Train Acc=0.4723 | Val Loss=4.2456, Val Acc=0.4458
Train Loss=1.9764, Train Acc=0.4704 | Val Loss=4.2468, Val Acc=0.4289
Train Loss=2.0511, Train Acc=0.4726 | Val Loss=4.0736, Val Acc=0.4353
Train Loss=1.9053, Train Acc=0.4836 | Val Loss=4.2452, Val Acc=0.4443
Train Loss=1.9363, Train Acc=0.4888 | Val Loss=4.1650, Val Acc=0.4455
Train Loss=1.9310, Train Acc=0.4847 | Val Loss=4.0174, Val Acc=0.4327
Train Loss=2.0311, Train Acc=0.5008 | Val Loss=3.8551, Val Acc=0.4498
Train Loss=1.8577, Train Acc=0.4988 | Val Loss=4.0131, Val Acc=0.4550
Train Loss=1.8702, Train Acc=0.4980 | Val Loss=3.9574, Val Acc=0.4491
Train Loss=1.9512, Train Acc=0.4933 | Val Loss=3.8523, Val Acc=0.4517
Train Loss=1.8061, Train Acc=0.5171 | Val Loss=3.7026, Val Acc=0.4591
Train Loss=1.8054, Train Acc=0.5200 | Val Loss=4.0073, Val Acc=0.4674
Train Loss=1.9255, Train Acc=0.5185 | Val Loss=3.8164, Val Acc=0.4731
Train Loss=1.8724, Train Acc=0.5175 | Val Loss=3.8953, Val Acc=0.4742
Train Loss=1.7844, Train Acc=0.5191 | Val Loss=3.8745, Val Acc=0.4645
Train Loss=1.7234, Train Acc=0.5242 | Val Loss=3.8783, Val Acc=0.4852
Train Loss=1.6621, Train Acc=0.5400 | Val Loss=3.9355, Val Acc=0.4685
Train Loss=1.7682, Train Acc=0.5302 | Val Loss=4.1682, Val Acc=0.4776
Train Loss=1.6464, Train Acc=0.5421 | Val Loss=3.7613, Val Acc=0.5015
Train Loss=1.6841, Train Acc=0.5417 | Val Loss=3.7892, Val Acc=0.4970
Train Loss=1.6798, Train Acc=0.5527 | Val Loss=3.7662, Val Acc=0.5006
Train Loss=1.6890, Train Acc=0.5516 | Val Loss=3.8325, Val Acc=0.4901
Train Loss=1.6972, Train Acc=0.5508 | Val Loss=4.0321, Val Acc=0.4859
Train Loss=1.7458, Train Acc=0.5579 | Val Loss=3.8271, Val Acc=0.5051
Train Loss=1.5498, Train Acc=0.5656 | Val Loss=3.7761, Val Acc=0.5084
Train Loss=1.5749, Train Acc=0.5743 | Val Loss=3.6834, Val Acc=0.5177
Train Loss=1.6223, Train Acc=0.5664 | Val Loss=3.6606, Val Acc=0.5091
Train Loss=1.6189, Train Acc=0.5794 | Val Loss=3.8620, Val Acc=0.5148
Train Loss=1.6020, Train Acc=0.5774 | Val Loss=3.5550, Val Acc=0.5091
Train Loss=1.4830, Train Acc=0.5817 | Val Loss=3.6227, Val Acc=0.4937
Train Loss=1.5802, Train Acc=0.5789 | Val Loss=3.6356, Val Acc=0.5236
Train Loss=1.5648, Train Acc=0.5892 | Val Loss=3.6222, Val Acc=0.5229
Train Loss=1.5211, Train Acc=0.6023 | Val Loss=3.7088, Val Acc=0.5163
Train Loss=1.4572, Train Acc=0.5994 | Val Loss=3.6454, Val Acc=0.5341
Train Loss=1.5588, Train Acc=0.5980 | Val Loss=3.6509, Val Acc=0.5250
Train Loss=1.4829, Train Acc=0.6039 | Val Loss=3.7327, Val Acc=0.5395
Train Loss=1.3884, Train Acc=0.6087 | Val Loss=3.4602, Val Acc=0.5488
Train Loss=1.4320, Train Acc=0.6145 | Val Loss=3.6193, Val Acc=0.5552
Train Loss=1.4595, Train Acc=0.6134 | Val Loss=3.4538, Val Acc=0.5531
Train Loss=1.4657, Train Acc=0.6101 | Val Loss=3.6206, Val Acc=0.5400
Train Loss=1.3538, Train Acc=0.6256 | Val Loss=3.4342, Val Acc=0.5699
Train Loss=1.4451, Train Acc=0.6311 | Val Loss=3.2797, Val Acc=0.5616
Train Loss=1.3506, Train Acc=0.6251 | Val Loss=3.4309, Val Acc=0.5571
Train Loss=1.3895, Train Acc=0.6268 | Val Loss=3.2978, Val Acc=0.5666
Train Loss=1.3272, Train Acc=0.6393 | Val Loss=3.5266, Val Acc=0.5682
Train Loss=1.3019, Train Acc=0.6439 | Val Loss=3.3648, Val Acc=0.5716
Train Loss=1.3331, Train Acc=0.6481 | Val Loss=3.2506, Val Acc=0.5568
Train Loss=1.3467, Train Acc=0.6498 | Val Loss=3.4183, Val Acc=0.5652
Train Loss=1.2966, Train Acc=0.6567 | Val Loss=3.4783, Val Acc=0.5794
Train Loss=1.2135, Train Acc=0.6576 | Val Loss=3.4130, Val Acc=0.5834
Train Loss=1.2657, Train Acc=0.6665 | Val Loss=3.4658, Val Acc=0.5887
Train Loss=1.3305, Train Acc=0.6606 | Val Loss=3.4795, Val Acc=0.5856
Train Loss=1.2783, Train Acc=0.6736 | Val Loss=3.3745, Val Acc=0.5962
Train Loss=1.2129, Train Acc=0.6771 | Val Loss=3.3694, Val Acc=0.5749
Train Loss=1.1939, Train Acc=0.6880 | Val Loss=3.3740, Val Acc=0.6086
Train Loss=1.2229, Train Acc=0.6881 | Val Loss=3.3669, Val Acc=0.6167
Train Loss=1.2299, Train Acc=0.6831 | Val Loss=3.2345, Val Acc=0.5939
Train Loss=1.1971, Train Acc=0.6917 | Val Loss=3.3917, Val Acc=0.6243
Train Loss=1.2257, Train Acc=0.6928 | Val Loss=3.6145, Val Acc=0.5934
Train Loss=1.1397, Train Acc=0.6959 | Val Loss=3.3081, Val Acc=0.6240
Train Loss=1.1320, Train Acc=0.7146 | Val Loss=3.2895, Val Acc=0.6122
Train Loss=1.1131, Train Acc=0.7139 | Val Loss=3.2051, Val Acc=0.6126
Train Loss=1.0910, Train Acc=0.7173 | Val Loss=3.3217, Val Acc=0.6290
Train Loss=1.0787, Train Acc=0.7154 | Val Loss=3.2521, Val Acc=0.6397
Train Loss=1.0780, Train Acc=0.7236 | Val Loss=3.2838, Val Acc=0.6183
Train Loss=1.0391, Train Acc=0.7310 | Val Loss=3.2818, Val Acc=0.6432
Train Loss=0.9803, Train Acc=0.7432 | Val Loss=3.2089, Val Acc=0.6428
