Train Loss=1.7707, Train Acc=0.2716 | Val Loss=1.7595, Val Acc=0.1944
Train Loss=1.5593, Train Acc=0.4118 | Val Loss=1.6176, Val Acc=0.3056
Train Loss=1.3325, Train Acc=0.5382 | Val Loss=1.2433, Val Acc=0.5694
Train Loss=1.1407, Train Acc=0.6333 | Val Loss=1.1235, Val Acc=0.5764
Train Loss=1.0109, Train Acc=0.6598 | Val Loss=1.0505, Val Acc=0.5625
Train Loss=0.9268, Train Acc=0.6902 | Val Loss=1.0749, Val Acc=0.5764
Train Loss=0.8331, Train Acc=0.7225 | Val Loss=0.9266, Val Acc=0.6875
Train Loss=0.7366, Train Acc=0.7657 | Val Loss=0.8331, Val Acc=0.7153
Train Loss=0.6986, Train Acc=0.7578 | Val Loss=1.0145, Val Acc=0.6250
Train Loss=0.6228, Train Acc=0.8157 | Val Loss=0.7119, Val Acc=0.7778
Train Loss=0.5806, Train Acc=0.8265 | Val Loss=0.7020, Val Acc=0.7708
Train Loss=0.4938, Train Acc=0.8608 | Val Loss=0.7136, Val Acc=0.7708
Train Loss=0.4681, Train Acc=0.8627 | Val Loss=0.6991, Val Acc=0.7778
Train Loss=0.4138, Train Acc=0.9010 | Val Loss=0.8299, Val Acc=0.7500
Train Loss=0.3352, Train Acc=0.9314 | Val Loss=0.5679, Val Acc=0.8264
Train Loss=0.3161, Train Acc=0.9255 | Val Loss=0.7144, Val Acc=0.7847
Train Loss=0.3007, Train Acc=0.9304 | Val Loss=0.6450, Val Acc=0.7917
Train Loss=0.2765, Train Acc=0.9422 | Val Loss=0.7545, Val Acc=0.7847
Train Loss=0.2678, Train Acc=0.9353 | Val Loss=0.5880, Val Acc=0.7986
Train Loss=0.2239, Train Acc=0.9539 | Val Loss=0.5785, Val Acc=0.7778
Train Loss=0.2074, Train Acc=0.9618 | Val Loss=0.5744, Val Acc=0.8333
Train Loss=0.1852, Train Acc=0.9667 | Val Loss=0.5437, Val Acc=0.8542
Train Loss=0.1845, Train Acc=0.9686 | Val Loss=0.7357, Val Acc=0.7917
Train Loss=0.1576, Train Acc=0.9755 | Val Loss=1.1928, Val Acc=0.6042
Train Loss=0.1325, Train Acc=0.9922 | Val Loss=0.6214, Val Acc=0.8125
Train Loss=0.1214, Train Acc=0.9892 | Val Loss=0.6879, Val Acc=0.8125
Train Loss=0.1141, Train Acc=0.9902 | Val Loss=0.5454, Val Acc=0.8194
Train Loss=0.0976, Train Acc=0.9951 | Val Loss=0.6276, Val Acc=0.8264
Train Loss=0.0878, Train Acc=0.9980 | Val Loss=0.6627, Val Acc=0.7986
Train Loss=0.0935, Train Acc=0.9941 | Val Loss=0.6016, Val Acc=0.8264
