Train Loss=1.8955, Train Acc=0.2304 | Val Loss=1.8968, Val Acc=0.2917
Train Loss=1.8099, Train Acc=0.3206 | Val Loss=1.8072, Val Acc=0.3333
Train Loss=1.7351, Train Acc=0.4010 | Val Loss=1.7203, Val Acc=0.3403
Train Loss=1.6600, Train Acc=0.4304 | Val Loss=1.6454, Val Acc=0.3958
Train Loss=1.5772, Train Acc=0.4706 | Val Loss=1.5697, Val Acc=0.4653
Train Loss=1.4809, Train Acc=0.5333 | Val Loss=1.4940, Val Acc=0.4861
Train Loss=1.3969, Train Acc=0.5745 | Val Loss=1.4095, Val Acc=0.5139
Train Loss=1.3049, Train Acc=0.5990 | Val Loss=1.3423, Val Acc=0.5556
Train Loss=1.2268, Train Acc=0.6471 | Val Loss=1.2567, Val Acc=0.5694
Train Loss=1.1565, Train Acc=0.6716 | Val Loss=1.1942, Val Acc=0.6250
Train Loss=1.0904, Train Acc=0.6971 | Val Loss=1.1317, Val Acc=0.6389
Train Loss=0.9902, Train Acc=0.7480 | Val Loss=1.0855, Val Acc=0.6528
Train Loss=0.9193, Train Acc=0.7716 | Val Loss=1.0342, Val Acc=0.6597
Train Loss=0.8790, Train Acc=0.7804 | Val Loss=1.0492, Val Acc=0.6597
Train Loss=0.8412, Train Acc=0.7980 | Val Loss=0.9630, Val Acc=0.6528
Train Loss=0.7938, Train Acc=0.8225 | Val Loss=0.9415, Val Acc=0.7083
Train Loss=0.7347, Train Acc=0.8373 | Val Loss=0.9047, Val Acc=0.7292
Train Loss=0.6913, Train Acc=0.8618 | Val Loss=0.9047, Val Acc=0.7153
Train Loss=0.6397, Train Acc=0.8637 | Val Loss=0.8830, Val Acc=0.7153
Train Loss=0.6194, Train Acc=0.8755 | Val Loss=0.8643, Val Acc=0.7083
Train Loss=0.5763, Train Acc=0.8951 | Val Loss=0.8420, Val Acc=0.7361
Train Loss=0.5467, Train Acc=0.9029 | Val Loss=0.8340, Val Acc=0.7500
Train Loss=0.5043, Train Acc=0.9265 | Val Loss=0.8429, Val Acc=0.7083
Train Loss=0.4808, Train Acc=0.9304 | Val Loss=0.8272, Val Acc=0.7361
Train Loss=0.4621, Train Acc=0.9412 | Val Loss=0.8046, Val Acc=0.7569
Train Loss=0.4334, Train Acc=0.9490 | Val Loss=0.7908, Val Acc=0.7569
Train Loss=0.4185, Train Acc=0.9520 | Val Loss=0.7957, Val Acc=0.7917
Train Loss=0.4299, Train Acc=0.9402 | Val Loss=0.8410, Val Acc=0.7153
Train Loss=0.3796, Train Acc=0.9559 | Val Loss=0.7702, Val Acc=0.7708
Train Loss=0.3533, Train Acc=0.9627 | Val Loss=0.8429, Val Acc=0.7222
Train Loss=0.3361, Train Acc=0.9637 | Val Loss=0.7688, Val Acc=0.7847
Train Loss=0.3216, Train Acc=0.9735 | Val Loss=0.7573, Val Acc=0.7847
Train Loss=0.2963, Train Acc=0.9775 | Val Loss=0.7483, Val Acc=0.7917
Train Loss=0.2831, Train Acc=0.9833 | Val Loss=0.7470, Val Acc=0.7917
Train Loss=0.2690, Train Acc=0.9843 | Val Loss=0.7649, Val Acc=0.7708
Train Loss=0.2505, Train Acc=0.9853 | Val Loss=0.7433, Val Acc=0.8056
Train Loss=0.2516, Train Acc=0.9863 | Val Loss=0.7510, Val Acc=0.7778
Train Loss=0.2430, Train Acc=0.9853 | Val Loss=0.7501, Val Acc=0.7847
Train Loss=0.2323, Train Acc=0.9912 | Val Loss=0.7486, Val Acc=0.7986
Train Loss=0.2272, Train Acc=0.9863 | Val Loss=0.7528, Val Acc=0.7778
Train Loss=0.2188, Train Acc=0.9892 | Val Loss=0.7894, Val Acc=0.7708
Train Loss=0.2093, Train Acc=0.9951 | Val Loss=0.7253, Val Acc=0.8056
Train Loss=0.1996, Train Acc=0.9971 | Val Loss=0.7633, Val Acc=0.7639
Train Loss=0.1985, Train Acc=0.9951 | Val Loss=0.7420, Val Acc=0.8056
Train Loss=0.2029, Train Acc=0.9922 | Val Loss=0.7960, Val Acc=0.8056
Train Loss=0.2053, Train Acc=0.9892 | Val Loss=0.7781, Val Acc=0.7986
Train Loss=0.1861, Train Acc=0.9971 | Val Loss=0.7431, Val Acc=0.7986
Train Loss=0.1768, Train Acc=0.9971 | Val Loss=0.7543, Val Acc=0.7986
Train Loss=0.1743, Train Acc=0.9990 | Val Loss=0.7751, Val Acc=0.7986
Train Loss=0.1726, Train Acc=0.9971 | Val Loss=0.7373, Val Acc=0.8333
