Train Loss=1.5799, Train Acc=0.4098 | Val Loss=1.5579, Val Acc=0.4494
Train Loss=1.4116, Train Acc=0.4898 | Val Loss=1.4621, Val Acc=0.5292
Train Loss=1.3195, Train Acc=0.5344 | Val Loss=1.4123, Val Acc=0.5393
Train Loss=1.2636, Train Acc=0.5501 | Val Loss=1.4417, Val Acc=0.5022
Train Loss=1.2184, Train Acc=0.5730 | Val Loss=1.3358, Val Acc=0.5798
Train Loss=1.1506, Train Acc=0.6046 | Val Loss=1.2675, Val Acc=0.5809
Train Loss=1.0809, Train Acc=0.6325 | Val Loss=1.2394, Val Acc=0.6225
Train Loss=1.0369, Train Acc=0.6472 | Val Loss=1.2516, Val Acc=0.6112
Train Loss=0.9721, Train Acc=0.6747 | Val Loss=1.2912, Val Acc=0.5831
Train Loss=0.9353, Train Acc=0.6884 | Val Loss=1.2330, Val Acc=0.6292
Train Loss=0.8649, Train Acc=0.7111 | Val Loss=1.2398, Val Acc=0.6225
Train Loss=0.8020, Train Acc=0.7405 | Val Loss=1.2190, Val Acc=0.6258
Train Loss=0.7240, Train Acc=0.7772 | Val Loss=1.1860, Val Acc=0.6483

Train Loss=0.6739, Train Acc=0.8018 | Val Loss=1.3870, Val Acc=0.5933
Train Loss=0.5921, Train Acc=0.8265 | Val Loss=1.2945, Val Acc=0.6124
Train Loss=0.5408, Train Acc=0.8518 | Val Loss=1.2931, Val Acc=0.6326
Train Loss=0.4410, Train Acc=0.8898 | Val Loss=1.3440, Val Acc=0.6506
Train Loss=0.4101, Train Acc=0.8993 | Val Loss=1.4200, Val Acc=0.6079
Train Loss=0.3426, Train Acc=0.9238 | Val Loss=1.4979, Val Acc=0.6045
Train Loss=0.2914, Train Acc=0.9426 | Val Loss=1.5964, Val Acc=0.6056
Train Loss=0.3019, Train Acc=0.9385 | Val Loss=1.5641, Val Acc=0.6157
Train Loss=0.2337, Train Acc=0.9625 | Val Loss=1.6760, Val Acc=0.6045
Train Loss=0.2004, Train Acc=0.9772 | Val Loss=1.7116, Val Acc=0.6079
Train Loss=0.1628, Train Acc=0.9888 | Val Loss=1.7208, Val Acc=0.6124
Train Loss=0.1850, Train Acc=0.9798 | Val Loss=1.7893, Val Acc=0.6169
Train Loss=0.1973, Train Acc=0.9736 | Val Loss=1.7780, Val Acc=0.6247
Train Loss=0.2036, Train Acc=0.9698 | Val Loss=1.8109, Val Acc=0.6247
Train Loss=0.1452, Train Acc=0.9916 | Val Loss=1.8135, Val Acc=0.6427
Train Loss=0.1132, Train Acc=0.9975 | Val Loss=1.8799, Val Acc=0.6146
Train Loss=0.1115, Train Acc=0.9981 | Val Loss=1.9189, Val Acc=0.6270
Train Loss=0.1011, Train Acc=0.9987 | Val Loss=1.9382, Val Acc=0.6303
Train Loss=0.1348, Train Acc=0.9886 | Val Loss=2.1513, Val Acc=0.5787
Train Loss=0.2177, Train Acc=0.9570 | Val Loss=2.0663, Val Acc=0.5921
Train Loss=0.1775, Train Acc=0.9772 | Val Loss=1.8411, Val Acc=0.6292
Train Loss=0.2380, Train Acc=0.9529 | Val Loss=1.9768, Val Acc=0.5787
Train Loss=0.1404, Train Acc=0.9888 | Val Loss=1.9070, Val Acc=0.6270
Train Loss=0.1087, Train Acc=0.9984 | Val Loss=1.9412, Val Acc=0.6382
Train Loss=0.1057, Train Acc=0.9975 | Val Loss=1.9027, Val Acc=0.6517
Train Loss=0.0999, Train Acc=0.9983 | Val Loss=1.9049, Val Acc=0.6315
Train Loss=0.0994, Train Acc=0.9984 | Val Loss=1.9599, Val Acc=0.6438
Train Loss=0.0967, Train Acc=0.9978 | Val Loss=2.0089, Val Acc=0.6315
Train Loss=0.0943, Train Acc=0.9994 | Val Loss=2.0407, Val Acc=0.6281
Train Loss=0.0928, Train Acc=0.9991 | Val Loss=2.0386, Val Acc=0.6382
Train Loss=0.0993, Train Acc=0.9973 | Val Loss=2.0469, Val Acc=0.6101
Train Loss=0.1479, Train Acc=0.9848 | Val Loss=2.0457, Val Acc=0.5843
Train Loss=0.1604, Train Acc=0.9791 | Val Loss=2.1362, Val Acc=0.5899
Train Loss=0.1549, Train Acc=0.9779 | Val Loss=2.2507, Val Acc=0.5753
Train Loss=0.1351, Train Acc=0.9861 | Val Loss=2.0404, Val Acc=0.6045
Train Loss=0.1183, Train Acc=0.9943 | Val Loss=2.1509, Val Acc=0.5955
Train Loss=0.0951, Train Acc=0.9981 | Val Loss=2.0511, Val Acc=0.6157
Train Loss=0.0991, Train Acc=0.9959 | Val Loss=2.0575, Val Acc=0.5966
Train Loss=0.1225, Train Acc=0.9886 | Val Loss=2.2241, Val Acc=0.6124
Train Loss=0.1072, Train Acc=0.9959 | Val Loss=2.1747, Val Acc=0.6124
Train Loss=0.0892, Train Acc=0.9989 | Val Loss=2.1470, Val Acc=0.6236
Train Loss=0.0863, Train Acc=0.9989 | Val Loss=2.1716, Val Acc=0.6146
Train Loss=0.0852, Train Acc=0.9994 | Val Loss=2.1226, Val Acc=0.6270
Train Loss=0.0873, Train Acc=0.9987 | Val Loss=2.1205, Val Acc=0.6292
Train Loss=0.0866, Train Acc=0.9989 | Val Loss=2.1695, Val Acc=0.6191
Train Loss=0.0856, Train Acc=0.9991 | Val Loss=2.1090, Val Acc=0.6101
Train Loss=0.0961, Train Acc=0.9957 | Val Loss=2.3331, Val Acc=0.5787
Train Loss=0.1693, Train Acc=0.9692 | Val Loss=2.0267, Val Acc=0.6034
Train Loss=0.1239, Train Acc=0.9877 | Val Loss=2.0211, Val Acc=0.6101
Train Loss=0.1540, Train Acc=0.9766 | Val Loss=2.2178, Val Acc=0.6034
Train Loss=0.1127, Train Acc=0.9896 | Val Loss=2.1154, Val Acc=0.6090
Train Loss=0.0946, Train Acc=0.9962 | Val Loss=2.1879, Val Acc=0.6180
Train Loss=0.0885, Train Acc=0.9975 | Val Loss=2.1575, Val Acc=0.6236
Train Loss=0.0780, Train Acc=0.9989 | Val Loss=2.0843, Val Acc=0.6404
Train Loss=0.0803, Train Acc=0.9983 | Val Loss=2.1110, Val Acc=0.6315
Train Loss=0.0864, Train Acc=0.9970 | Val Loss=2.1836, Val Acc=0.6225
Train Loss=0.0819, Train Acc=0.9983 | Val Loss=2.0764, Val Acc=0.6247
