Train Loss=1.9727, Train Acc=0.3709 | Val Loss=2.2294, Val Acc=0.4078
Train Loss=1.8136, Train Acc=0.4410 | Val Loss=2.2518, Val Acc=0.3817
Train Loss=1.7446, Train Acc=0.4659 | Val Loss=2.1878, Val Acc=0.4097
Train Loss=1.6815, Train Acc=0.4843 | Val Loss=2.1212, Val Acc=0.4586
Train Loss=1.6387, Train Acc=0.5078 | Val Loss=2.1660, Val Acc=0.4194
Train Loss=1.5373, Train Acc=0.5309 | Val Loss=2.1248, Val Acc=0.4432
Train Loss=1.5017, Train Acc=0.5494 | Val Loss=2.0269, Val Acc=0.4977
Train Loss=1.4640, Train Acc=0.5528 | Val Loss=1.9518, Val Acc=0.5172
Train Loss=1.4620, Train Acc=0.5632 | Val Loss=2.0090, Val Acc=0.5148
Train Loss=1.4247, Train Acc=0.5777 | Val Loss=1.9850, Val Acc=0.5193
Train Loss=1.3464, Train Acc=0.5938 | Val Loss=1.9749, Val Acc=0.5117
Train Loss=1.3032, Train Acc=0.6059 | Val Loss=2.0178, Val Acc=0.5053
Train Loss=1.2723, Train Acc=0.6219 | Val Loss=2.3526, Val Acc=0.3862
Train Loss=1.1893, Train Acc=0.6415 | Val Loss=2.0490, Val Acc=0.4695
Train Loss=1.1928, Train Acc=0.6369 | Val Loss=1.8385, Val Acc=0.5528
Train Loss=1.1488, Train Acc=0.6686 | Val Loss=1.7783, Val Acc=0.5566
Train Loss=1.1023, Train Acc=0.6848 | Val Loss=1.8956, Val Acc=0.5846
Train Loss=1.0641, Train Acc=0.6981 | Val Loss=1.8775, Val Acc=0.5533
Train Loss=1.0149, Train Acc=0.7119 | Val Loss=1.7912, Val Acc=0.6100
Train Loss=0.9884, Train Acc=0.7241 | Val Loss=2.1178, Val Acc=0.4930
Train Loss=0.9841, Train Acc=0.7274 | Val Loss=1.7714, Val Acc=0.6171
Train Loss=0.8930, Train Acc=0.7550 | Val Loss=1.6782, Val Acc=0.6727
