Train Loss=1.5659, Train Acc=0.4047 | Val Loss=1.5627, Val Acc=0.4843
Train Loss=1.4051, Train Acc=0.4836 | Val Loss=1.5073, Val Acc=0.4910
Train Loss=1.3310, Train Acc=0.5156 | Val Loss=1.5048, Val Acc=0.4674
Train Loss=1.2693, Train Acc=0.5471 | Val Loss=1.5185, Val Acc=0.4663
Train Loss=1.2144, Train Acc=0.5736 | Val Loss=1.3085, Val Acc=0.5775
Train Loss=1.1528, Train Acc=0.5975 | Val Loss=1.4803, Val Acc=0.4753
Train Loss=1.0977, Train Acc=0.6196 | Val Loss=1.2767, Val Acc=0.6067
Train Loss=1.0370, Train Acc=0.6464 | Val Loss=1.3243, Val Acc=0.5730
Train Loss=0.9944, Train Acc=0.6663 | Val Loss=1.2465, Val Acc=0.6011
Train Loss=0.9190, Train Acc=0.7020 | Val Loss=1.3001, Val Acc=0.5955
Train Loss=0.8751, Train Acc=0.7193 | Val Loss=1.2758, Val Acc=0.5865
Train Loss=0.8167, Train Acc=0.7394 | Val Loss=1.2548, Val Acc=0.6146
Train Loss=0.7735, Train Acc=0.7545 | Val Loss=1.2803, Val Acc=0.6045
Train Loss=0.6981, Train Acc=0.7895 | Val Loss=1.2813, Val Acc=0.6124
Train Loss=0.6339, Train Acc=0.8120 | Val Loss=1.3394, Val Acc=0.6011
Train Loss=0.5698, Train Acc=0.8363 | Val Loss=1.2713, Val Acc=0.6191
Train Loss=0.4844, Train Acc=0.8724 | Val Loss=1.3758, Val Acc=0.6157
Train Loss=0.4259, Train Acc=0.8959 | Val Loss=1.4814, Val Acc=0.5820
Train Loss=0.3820, Train Acc=0.9148 | Val Loss=1.4847, Val Acc=0.5888
Train Loss=0.3320, Train Acc=0.9342 | Val Loss=1.4468, Val Acc=0.6135
Train Loss=0.2855, Train Acc=0.9484 | Val Loss=1.8851, Val Acc=0.5607
Train Loss=0.2407, Train Acc=0.9652 | Val Loss=1.5932, Val Acc=0.6056
Train Loss=0.2098, Train Acc=0.9741 | Val Loss=1.6052, Val Acc=0.6360
Train Loss=0.1782, Train Acc=0.9858 | Val Loss=1.8013, Val Acc=0.6045
Train Loss=0.1764, Train Acc=0.9859 | Val Loss=1.7619, Val Acc=0.6056
Train Loss=0.1854, Train Acc=0.9771 | Val Loss=1.9042, Val Acc=0.5809
Train Loss=0.1836, Train Acc=0.9809 | Val Loss=1.7435, Val Acc=0.6135
Train Loss=0.1684, Train Acc=0.9870 | Val Loss=1.8857, Val Acc=0.5966
Train Loss=0.2257, Train Acc=0.9628 | Val Loss=1.8654, Val Acc=0.5876
Train Loss=0.1450, Train Acc=0.9934 | Val Loss=1.8900, Val Acc=0.5989
Train Loss=0.1486, Train Acc=0.9900 | Val Loss=1.8047, Val Acc=0.6191
Train Loss=0.1267, Train Acc=0.9970 | Val Loss=1.8438, Val Acc=0.6247
Train Loss=0.1190, Train Acc=0.9984 | Val Loss=1.8917, Val Acc=0.6202
Train Loss=0.1148, Train Acc=0.9989 | Val Loss=1.9895, Val Acc=0.6067
Train Loss=0.1338, Train Acc=0.9938 | Val Loss=2.0859, Val Acc=0.6000
Train Loss=0.1835, Train Acc=0.9796 | Val Loss=2.1562, Val Acc=0.5888
Train Loss=0.1575, Train Acc=0.9826 | Val Loss=1.9948, Val Acc=0.5966
Train Loss=0.1819, Train Acc=0.9749 | Val Loss=1.9753, Val Acc=0.5843
Train Loss=0.1918, Train Acc=0.9741 | Val Loss=1.8019, Val Acc=0.6112
Train Loss=0.1413, Train Acc=0.9916 | Val Loss=2.0114, Val Acc=0.6247
Train Loss=0.1199, Train Acc=0.9970 | Val Loss=2.0387, Val Acc=0.6348
Train Loss=0.1116, Train Acc=0.9970 | Val Loss=1.9730, Val Acc=0.6292
Train Loss=0.1140, Train Acc=0.9979 | Val Loss=2.0742, Val Acc=0.6101
Train Loss=0.1050, Train Acc=0.9992 | Val Loss=1.9923, Val Acc=0.6225
Train Loss=0.1064, Train Acc=0.9989 | Val Loss=2.0058, Val Acc=0.6225
Train Loss=0.1019, Train Acc=0.9991 | Val Loss=2.0161, Val Acc=0.6270
Train Loss=0.1068, Train Acc=0.9991 | Val Loss=2.0288, Val Acc=0.6169
Train Loss=0.1000, Train Acc=0.9994 | Val Loss=2.0232, Val Acc=0.6191
Train Loss=0.1021, Train Acc=0.9992 | Val Loss=2.0915, Val Acc=0.6112
Train Loss=0.1502, Train Acc=0.9834 | Val Loss=2.4466, Val Acc=0.5112
Train Loss=0.2484, Train Acc=0.9488 | Val Loss=2.0505, Val Acc=0.5697
Train Loss=0.1828, Train Acc=0.9726 | Val Loss=2.0839, Val Acc=0.6079
Train Loss=0.1408, Train Acc=0.9892 | Val Loss=2.0071, Val Acc=0.6191
Train Loss=0.1111, Train Acc=0.9976 | Val Loss=1.9893, Val Acc=0.6236
Train Loss=0.1060, Train Acc=0.9991 | Val Loss=1.9481, Val Acc=0.6393
Train Loss=0.0998, Train Acc=0.9995 | Val Loss=1.9788, Val Acc=0.6202
Train Loss=0.0982, Train Acc=0.9995 | Val Loss=2.0223, Val Acc=0.6258
Train Loss=0.0973, Train Acc=0.9994 | Val Loss=1.9754, Val Acc=0.6247
Train Loss=0.0978, Train Acc=0.9992 | Val Loss=2.0264, Val Acc=0.6281
Train Loss=0.0985, Train Acc=0.9989 | Val Loss=2.1008, Val Acc=0.6056
Train Loss=0.1236, Train Acc=0.9916 | Val Loss=2.4010, Val Acc=0.5730
Train Loss=0.2542, Train Acc=0.9434 | Val Loss=1.8929, Val Acc=0.5843
Train Loss=0.1430, Train Acc=0.9837 | Val Loss=2.1556, Val Acc=0.5989
Train Loss=0.1222, Train Acc=0.9941 | Val Loss=2.0376, Val Acc=0.6247
Train Loss=0.1185, Train Acc=0.9946 | Val Loss=2.1046, Val Acc=0.6157
Train Loss=0.1102, Train Acc=0.9962 | Val Loss=2.1160, Val Acc=0.6281
Train Loss=0.0970, Train Acc=0.9995 | Val Loss=2.0406, Val Acc=0.6258
